Sport,Concussion_Competition,Concussion_Practice,Exposure_Competition,Exposure_Practice
Football,548,364,239445,1176395
Boys Ice Hockey,69,11,47418,99857
Boys Lacrosse,75,18,71990,159980
Girls Soccer,133,26,145139,328241
Girls Lacrosse,45,15,52331,117865
Girls Basketball,85,22,153655,350554
Boys Soccer,88,15,166572,383076
Boys Wrestling,63,49,132203,365981
Girls Field Hockey,29,22,70430,156735
Boys Baksetball,71,25,181941,433661
Girls Softball,36,22,123815,239850
Girls Gymnastics,2,1,8431,35882
Cheerleading,2,21,16412,145124
Boys Baseball,19,4,167233,312033
Girls Volleyball,16,15,162854,322371
Girls Swimming,2,2,45564,187588
Girls Track,3,5,82360,356285
Boys Track,3,8,100050,441052
Boys Swim,0,2,37556,162135
