Rate,City
13.75,Dallas
13.75,Dallas
13.5,Dallas
13.5,Dallas
13.4,Dallas
13.2,Dallas
13,Dallas
13,Dallas
13,Dallas
12.75,Dallas
12.5,Dallas
13.25,NY
13,NY
12.1,NY
12.75,NY
12.5,NY
12.5,NY
12.4,NY
12.8,NY
12.3,NY
11.9,NY
11.9,NY
14,Phoenix
14,Phoenix
13.51,Phoenix
13.5,Phoenix
13.5,Phoenix
13.25,Phoenix
13,Phoenix
12.5,Phoenix
12.5,Phoenix
14.5,LA
14,LA
14,LA
13.9,LA
13.75,LA
13.25,LA
13,LA
13.5,LA
13.4,LA
12.5,Chicago
12.25,Chicago
12.25,Chicago
12,Chicago
12,Chicago
12,Chicago
12,Chicago
11.9,Chicago
11.9,Chicago
